Distrito,Desempleo_Pct,Pobreza_Pct,Iluminacion_Publica,Presencia_Policial,Camaras_Vigilancia,Pandillaje_Indice,Trafico_Drogas_Indice,Violencia_Familiar_Pct,Informalidad_Laboral_Pct,Abandono_Escolar_Pct,Percepcion_Inseguridad,Hora_Evento,Tipo_Evento
Cercado de Lima,7.82,19.52,78.76,3.07,55,4.98,3.3,28.14,20.53,5.28,4.29,15,Hurto
Independencia,18.25,8.21,71.47,2.35,35,9.97,8.97,18.13,84.22,1.1,9.78,23,Microcomercializacion Drogas
Callao,15.21,26.4,68.6,4.27,4,1.87,3.24,13.91,55.53,5.61,2.03,13,Hurto
Villa El Salvador,11.6,42.28,59.24,3.17,5,3.37,1.34,3.77,89.3,7.12,8.29,0,Robo
Callao,15.92,28.83,68.29,2.35,93,1.07,8.51,22.89,48.6,18.73,9.92,1,Robo
Los Olivos,18.75,33.86,42.89,4.02,10,7.95,2.02,6.58,31.5,16.48,6.99,3,Hurto
Cercado de Lima,9.67,37.66,66.35,2.2,50,6.24,5.4,14.28,60.42,7.75,4.52,1,Asalto
Independencia,6.89,26.71,65.89,2.0,50,3.35,1.39,24.23,63.41,11.14,9.05,3,Homicidio
Callao,8.3,14.94,84.64,0.65,85,7.14,4.94,23.13,27.2,11.19,4.41,12,Robo
Independencia,11.54,26.59,69.18,2.34,44,7.2,6.41,21.43,57.99,5.78,4.11,10,Homicidio
Independencia,12.92,21.03,67.72,4.76,11,9.12,1.39,4.82,37.92,14.8,6.34,11,Asalto
Ate,16.43,5.92,79.08,3.97,30,6.07,4.24,22.62,85.41,18.59,5.06,13,Hurto
Cercado de Lima,17.26,9.99,95.25,4.41,54,2.27,6.08,12.62,72.1,4.91,8.09,8,Robo
Ate,12.14,41.79,60.78,2.06,33,9.18,5.87,2.92,83.89,5.72,6.2,19,Hurto
Independencia,8.3,36.22,56.66,1.49,84,5.15,9.76,14.85,59.01,17.35,5.82,7,Asalto
San Juan de Lurigancho,8.27,20.89,65.61,4.1,61,2.05,1.91,3.02,53.04,11.73,1.59,13,Pandillaje
Comas,11.91,22.63,64.05,3.02,62,1.03,3.34,4.11,72.73,6.17,9.08,1,Hurto
San Martín de Porres,19.64,38.59,92.02,2.34,56,2.22,2.31,20.81,21.38,2.98,8.2,2,Homicidio
Independencia,4.69,14.73,83.34,4.35,15,3.97,6.68,7.74,40.52,18.03,1.12,6,Microcomercializacion Drogas
Villa El Salvador,3.45,12.26,74.98,2.4,1,9.11,6.25,11.4,77.76,7.9,1.31,19,Pandillaje
Villa María del Triunfo,16.16,19.51,91.66,1.49,85,7.8,1.14,17.84,88.98,9.95,2.64,17,Robo
Callao,12.21,30.34,55.47,1.13,3,1.32,9.01,21.35,67.82,16.63,5.77,9,Violencia Familiar
Villa María del Triunfo,4.14,21.21,69.85,3.74,85,1.37,9.0,26.47,61.82,12.41,6.99,6,Violencia Familiar
San Juan de Lurigancho,10.12,20.33,71.14,0.71,53,7.38,0.83,18.89,37.17,8.4,3.6,3,Pandillaje
San Martín de Porres,13.38,42.97,63.8,4.79,21,7.33,2.15,2.87,38.36,12.31,1.46,12,Robo
Callao,16.11,9.26,44.51,3.78,88,7.05,5.98,14.87,25.32,2.48,1.02,18,Hurto
Comas,4.75,17.58,88.45,4.83,16,9.5,4.46,7.18,57.93,17.59,7.59,20,Pandillaje
Villa El Salvador,14.77,38.97,54.98,2.7,14,6.93,0.52,20.76,23.09,12.18,9.99,20,Asalto
San Martín de Porres,3.58,32.9,57.84,4.66,58,9.44,4.74,26.14,79.12,7.06,8.46,16,Pandillaje
Independencia,6.91,9.82,44.62,3.63,39,4.41,4.04,18.03,76.28,11.23,6.95,12,Pandillaje
Cercado de Lima,17.9,21.7,67.72,4.96,12,5.29,9.39,24.37,89.86,7.66,7.9,20,Violencia Familiar
Independencia,7.62,20.93,45.5,2.01,83,7.38,2.39,5.09,44.82,6.46,3.67,4,Robo
San Juan de Lurigancho,18.48,6.8,46.57,2.26,67,2.18,9.5,24.02,26.26,8.93,8.91,13,Violencia Familiar
Comas,5.84,44.65,53.9,4.74,62,2.31,8.31,5.37,23.29,8.3,1.33,2,Microcomercializacion Drogas
Villa El Salvador,3.98,43.76,93.03,4.67,60,2.6,5.15,15.75,89.74,18.05,5.17,12,Hurto
Callao,13.08,28.2,45.49,4.45,66,2.73,4.77,3.24,79.65,1.67,3.96,4,Violencia Familiar
Comas,9.94,19.91,55.59,3.76,89,5.33,9.62,5.07,82.61,19.84,1.55,12,Violencia Familiar
Los Olivos,17.02,18.91,80.68,3.05,32,8.79,7.97,20.44,79.54,17.48,7.38,10,Hurto
Villa El Salvador,14.56,29.74,85.16,1.21,44,8.72,0.29,25.12,29.02,7.37,7.69,17,Pandillaje
San Martín de Porres,6.28,8.36,59.59,3.02,94,3.77,0.09,24.92,28.99,6.38,1.17,8,Homicidio
Villa El Salvador,4.74,42.49,81.27,0.81,90,1.66,7.71,21.84,53.15,2.1,1.67,17,Homicidio
Ate,14.01,28.78,63.02,0.8,32,3.24,4.89,23.57,67.83,9.47,3.46,3,Asalto
Callao,5.78,36.79,81.62,1.49,1,7.73,2.3,5.68,80.76,19.3,1.28,20,Microcomercializacion Drogas
Villa El Salvador,13.85,20.9,56.45,4.93,0,3.21,7.24,22.88,34.03,17.49,7.43,17,Homicidio
Independencia,5.71,13.15,45.47,1.19,26,8.45,7.61,19.53,29.19,1.62,9.29,2,Hurto
Callao,3.02,28.93,76.44,1.61,8,2.01,4.92,3.8,60.74,6.11,8.18,10,Homicidio
San Juan de Lurigancho,3.2,7.9,63.55,2.66,94,7.22,6.57,23.2,86.69,18.25,7.52,18,Hurto
San Juan de Lurigancho,4.75,27.84,41.1,2.67,91,7.02,5.6,2.27,42.85,10.84,1.79,12,Robo
Ate,9.08,17.88,98.65,1.4,14,2.0,1.67,4.93,64.55,14.42,1.28,5,Violencia Familiar
Callao,15.05,39.84,82.85,4.11,61,6.12,4.84,20.5,58.71,12.35,8.05,2,Robo
Cercado de Lima,10.46,33.99,75.6,3.43,24,8.72,2.19,29.32,43.58,4.46,8.11,22,Robo
Comas,3.35,31.13,59.94,2.94,58,6.5,2.0,21.05,25.05,1.58,3.32,11,Robo
Villa El Salvador,15.36,34.71,65.53,2.06,19,5.05,5.43,16.39,61.16,1.56,4.56,3,Microcomercializacion Drogas
Comas,16.48,31.2,99.53,1.78,11,3.84,4.66,25.41,36.51,15.74,4.65,22,Violencia Familiar
Comas,6.08,39.18,69.54,1.61,59,4.05,5.93,18.22,66.38,2.81,6.87,1,Microcomercializacion Drogas
Villa El Salvador,8.53,35.94,47.85,4.86,46,2.35,8.84,14.38,43.16,9.53,7.02,8,Asalto
Ate,12.99,42.94,55.15,2.12,27,0.37,7.36,20.59,53.22,17.04,8.25,14,Microcomercializacion Drogas
Ate,7.59,7.28,71.87,4.71,28,6.4,2.25,7.04,26.2,2.96,6.26,11,Robo
Villa El Salvador,11.16,32.44,41.04,1.95,28,8.68,4.55,16.44,54.22,13.67,2.26,12,Robo
Comas,6.43,31.94,98.19,0.92,7,1.56,2.35,28.97,37.87,13.57,9.81,10,Violencia Familiar
Comas,7.15,38.24,91.88,3.96,90,9.31,6.9,20.94,35.1,13.52,4.54,4,Violencia Familiar
Comas,19.99,6.93,98.63,2.33,47,7.52,0.9,10.08,27.64,13.36,7.89,3,Pandillaje
Villa María del Triunfo,18.32,40.12,59.03,4.41,0,1.2,5.44,2.16,42.72,7.96,4.57,20,Hurto
Callao,13.14,26.83,66.67,0.57,10,6.03,6.68,19.35,52.44,8.22,8.77,15,Microcomercializacion Drogas
Villa El Salvador,16.83,9.36,48.94,2.87,78,5.34,6.08,23.42,76.91,14.64,9.6,12,Homicidio
San Martín de Porres,18.24,7.85,97.28,3.45,50,0.6,9.34,11.85,27.1,10.23,3.31,19,Pandillaje
Los Olivos,12.88,8.59,83.06,2.3,76,4.14,1.22,7.07,67.68,4.45,5.73,6,Hurto
San Juan de Lurigancho,12.64,15.26,97.78,2.68,6,8.16,3.74,16.74,27.86,1.05,6.74,20,Homicidio
Callao,16.49,30.86,50.49,2.12,41,9.0,3.53,8.63,74.64,6.22,8.4,6,Violencia Familiar
Comas,16.03,10.99,65.44,1.19,48,7.37,8.63,8.07,26.7,1.45,6.78,6,Violencia Familiar
Cercado de Lima,7.37,30.28,43.51,1.14,63,1.36,6.95,13.32,49.97,14.63,7.23,6,Hurto
Los Olivos,13.25,18.49,94.33,3.98,35,0.86,8.94,7.37,42.64,5.31,4.19,3,Asalto
Comas,14.38,7.8,78.41,1.72,71,6.51,5.33,11.08,43.31,13.72,9.95,1,Asalto
Los Olivos,15.42,23.61,43.61,3.03,35,9.62,6.35,23.14,31.93,8.78,4.8,22,Pandillaje
San Juan de Lurigancho,8.11,44.25,68.49,2.22,22,3.99,1.52,29.79,84.89,11.26,8.58,20,Robo
Villa María del Triunfo,4.52,35.21,47.66,4.22,37,1.59,0.63,5.29,35.92,7.49,4.43,1,Microcomercializacion Drogas
Callao,11.67,38.01,56.78,4.74,81,5.16,9.19,15.91,89.45,17.18,2.88,14,Asalto
Villa María del Triunfo,16.9,20.22,92.68,4.41,5,1.41,2.12,24.92,42.58,1.43,2.38,2,Hurto
Ate,12.74,42.31,74.51,2.66,32,9.23,4.87,18.98,73.54,4.32,5.52,8,Microcomercializacion Drogas
Villa El Salvador,5.07,24.13,70.37,1.55,44,5.5,9.66,14.11,41.83,10.62,4.96,5,Robo
Comas,14.05,11.08,43.68,4.01,9,2.12,4.85,23.12,63.36,6.65,4.87,8,Robo
Callao,16.31,15.62,50.67,3.61,96,5.09,9.97,24.79,63.07,6.82,6.62,5,Violencia Familiar
Villa El Salvador,18.07,22.99,51.68,2.15,91,4.82,1.77,12.84,87.47,5.72,2.2,20,Robo
Villa El Salvador,15.92,10.48,72.12,1.47,84,8.34,6.29,7.57,24.52,1.81,4.34,16,Violencia Familiar
Villa El Salvador,17.35,8.92,69.29,1.18,51,2.43,6.52,24.7,62.99,17.33,4.53,9,Homicidio
Callao,4.74,31.35,96.57,4.14,47,2.55,8.41,3.08,83.12,9.77,6.73,1,Hurto
Villa María del Triunfo,13.82,29.56,44.0,2.83,82,1.06,9.88,14.41,23.35,1.72,7.72,0,Robo
Independencia,4.79,6.42,70.51,2.24,30,2.97,3.5,23.69,66.3,4.52,2.57,4,Violencia Familiar
Villa María del Triunfo,15.99,15.6,41.26,0.87,91,8.99,7.82,8.38,88.32,13.68,1.09,3,Pandillaje
Callao,13.95,26.21,42.52,4.86,20,1.25,4.74,5.19,54.02,18.49,5.69,1,Robo
San Juan de Lurigancho,18.78,13.98,62.33,2.44,88,1.64,2.74,27.99,67.32,10.42,1.11,20,Hurto
San Martín de Porres,17.95,15.34,72.64,3.36,20,9.78,7.48,17.62,32.64,2.02,3.88,21,Homicidio
Villa María del Triunfo,12.17,34.12,46.48,3.58,51,8.18,2.14,16.16,78.85,14.92,5.88,0,Asalto
Villa María del Triunfo,12.61,32.56,92.4,3.36,7,4.62,0.09,8.91,70.85,19.84,1.89,9,Violencia Familiar
Callao,12.44,34.32,76.96,1.35,40,3.75,5.39,16.68,79.36,16.96,8.49,13,Robo
Comas,15.9,32.14,85.38,4.29,69,8.77,9.96,12.31,51.4,14.72,8.98,2,Robo
Villa María del Triunfo,10.01,32.82,40.19,3.29,3,1.81,3.88,13.27,81.2,10.69,7.51,4,Violencia Familiar
San Martín de Porres,14.95,7.11,69.2,3.2,18,2.7,8.25,15.95,25.39,2.11,4.01,5,Hurto
Ate,11.79,22.61,48.85,1.98,54,2.36,3.71,3.75,76.1,15.57,7.6,21,Violencia Familiar
San Juan de Lurigancho,13.84,24.85,50.7,3.59,46,8.4,3.84,18.01,61.14,4.51,4.26,17,Robo
San Juan de Lurigancho,12.96,28.46,81.86,4.68,50,9.41,2.59,14.03,81.09,17.0,2.67,16,Asalto
Villa El Salvador,15.0,30.25,42.99,4.57,34,4.37,7.3,23.43,31.12,12.59,2.22,19,Violencia Familiar
Ate,3.23,16.31,42.68,0.66,6,2.47,9.06,8.99,39.04,15.43,5.05,12,Hurto
Callao,11.29,6.34,43.76,4.58,56,3.46,3.15,23.61,26.05,5.5,7.59,10,Homicidio
San Martín de Porres,9.69,38.11,87.26,3.31,36,9.81,2.57,20.32,33.87,11.74,5.18,20,Violencia Familiar
Callao,6.11,5.88,83.2,2.38,70,6.84,5.45,29.45,35.92,8.68,5.88,6,Microcomercializacion Drogas
San Juan de Lurigancho,13.42,14.05,90.82,2.43,4,9.46,8.5,20.73,52.36,8.82,6.86,21,Hurto
Independencia,4.9,19.24,98.68,4.07,48,2.01,2.59,6.61,43.12,15.38,5.67,23,Robo
Villa María del Triunfo,5.75,15.22,96.8,3.02,27,7.72,0.27,3.83,52.48,18.28,5.85,19,Pandillaje
San Martín de Porres,14.17,37.88,62.83,3.99,50,1.96,1.87,4.63,44.97,15.39,3.49,7,Pandillaje
Independencia,11.84,22.9,73.47,1.25,79,8.57,9.06,9.75,88.85,3.67,2.82,7,Homicidio
Villa El Salvador,10.49,29.61,45.01,4.47,11,7.4,3.2,29.68,53.98,3.33,7.53,1,Robo
Villa María del Triunfo,19.66,31.25,47.79,3.59,2,5.27,7.19,26.93,25.56,14.9,2.69,8,Microcomercializacion Drogas
Comas,4.88,35.38,99.28,4.56,72,3.58,4.94,25.19,43.46,4.3,7.41,23,Robo
San Juan de Lurigancho,7.08,10.68,60.88,2.53,57,6.14,4.36,18.16,71.66,16.32,8.59,2,Robo
Comas,8.53,32.45,44.18,1.29,72,6.55,9.92,4.03,25.4,7.47,8.8,14,Hurto
Villa El Salvador,3.56,17.16,79.19,4.72,75,2.33,8.07,3.65,82.92,13.36,8.87,22,Robo
Comas,10.6,23.41,91.87,2.96,34,4.13,8.02,15.41,21.26,9.01,1.24,5,Hurto
Callao,7.97,41.43,85.24,4.12,83,9.82,6.21,17.66,63.98,11.12,6.72,19,Robo
Villa María del Triunfo,5.04,7.73,55.8,0.71,32,4.69,3.01,18.75,40.81,6.7,7.69,3,Robo
Independencia,17.91,18.22,60.42,4.95,54,5.31,8.38,9.99,50.04,6.09,8.1,20,Violencia Familiar
Villa El Salvador,7.29,13.81,69.3,3.82,72,9.1,6.69,25.22,81.53,11.86,5.66,14,Robo
Villa María del Triunfo,10.39,35.96,76.12,4.52,92,1.71,9.48,14.47,75.22,13.15,7.09,3,Hurto
Los Olivos,14.09,43.02,76.04,3.85,0,2.69,4.07,26.96,20.2,1.76,6.44,7,Hurto
Cercado de Lima,19.52,18.25,68.92,1.38,34,4.47,4.74,18.54,57.59,17.23,1.45,7,Robo
San Juan de Lurigancho,8.76,37.1,74.32,2.81,53,9.32,3.97,4.44,63.19,3.16,4.11,6,Asalto
San Martín de Porres,11.39,33.09,99.57,1.09,45,1.65,3.9,22.44,81.76,13.75,3.32,15,Hurto
Cercado de Lima,19.24,37.85,40.09,3.36,86,7.18,8.3,3.14,81.01,5.88,6.99,0,Hurto
Comas,4.57,28.85,72.98,4.55,75,0.8,3.55,28.37,66.8,13.89,4.26,10,Violencia Familiar
Comas,5.36,9.63,49.26,1.27,69,1.21,9.02,3.86,57.38,3.7,1.11,11,Hurto
San Juan de Lurigancho,4.43,20.97,94.61,4.14,94,4.67,8.17,3.89,47.12,17.18,4.64,12,Hurto
Villa El Salvador,17.65,28.61,53.58,2.23,66,8.58,9.17,14.07,42.32,12.06,4.34,21,Pandillaje
San Juan de Lurigancho,11.94,25.47,49.94,3.41,36,8.9,3.46,6.32,21.78,13.27,6.73,10,Hurto
San Juan de Lurigancho,4.72,38.89,71.87,4.29,55,9.88,4.54,21.27,29.84,10.23,1.25,2,Homicidio
Ate,4.69,13.35,95.54,2.36,50,0.23,7.56,14.84,40.25,18.1,2.05,9,Violencia Familiar
Los Olivos,18.1,29.12,89.6,4.93,76,6.07,1.52,2.87,87.95,15.7,9.82,8,Asalto
Comas,5.86,14.88,90.31,2.1,97,2.59,1.95,3.61,43.97,6.13,9.7,6,Asalto
San Juan de Lurigancho,12.87,10.57,66.64,3.32,10,2.07,7.82,22.57,41.03,7.19,8.13,18,Hurto
Villa El Salvador,5.52,39.1,82.65,4.58,63,5.93,5.99,11.9,52.09,1.72,7.71,6,Robo
San Juan de Lurigancho,14.57,23.67,42.07,4.86,18,5.13,0.94,23.13,54.44,6.75,5.42,10,Hurto
Independencia,10.5,29.23,95.12,2.13,80,8.66,9.81,13.41,77.93,15.53,6.16,12,Asalto
Callao,4.01,5.13,78.41,1.84,71,0.62,8.83,14.55,55.73,12.91,9.34,15,Microcomercializacion Drogas
Villa María del Triunfo,14.69,33.91,81.55,1.1,20,3.59,8.04,9.81,34.75,19.19,1.08,18,Robo
Cercado de Lima,17.08,16.78,40.86,3.82,24,6.33,0.69,2.16,85.6,16.62,8.28,0,Pandillaje
Comas,4.77,20.96,83.39,1.76,3,4.07,0.66,11.77,27.77,16.36,9.53,1,Robo
Los Olivos,11.88,16.98,44.61,2.75,15,4.78,1.45,21.88,66.68,5.01,8.77,2,Microcomercializacion Drogas
Independencia,9.89,41.24,59.29,2.64,64,5.49,2.19,2.94,35.02,8.91,7.84,16,Asalto
Cercado de Lima,12.96,29.99,44.31,3.57,13,4.63,2.35,10.49,40.3,11.7,2.08,22,Violencia Familiar
San Martín de Porres,5.7,40.28,89.43,3.75,75,4.02,1.03,7.29,74.81,14.59,6.34,16,Robo
Comas,10.94,18.61,96.43,0.87,27,1.02,3.6,9.57,78.99,6.95,8.1,14,Homicidio
Los Olivos,18.47,20.09,97.84,0.9,57,0.42,5.65,28.04,79.1,13.84,2.25,20,Pandillaje
Villa El Salvador,19.42,35.44,97.05,3.66,93,2.69,4.75,19.76,89.96,2.99,5.49,6,Asalto
Callao,11.09,9.44,78.07,3.97,70,7.68,4.17,25.02,79.52,5.03,6.92,10,Microcomercializacion Drogas
Villa María del Triunfo,6.67,32.11,76.47,1.83,87,9.31,1.26,22.64,88.22,1.99,7.14,21,Robo
Ate,4.45,6.72,80.01,4.2,53,5.16,2.68,25.39,21.03,8.2,4.04,21,Microcomercializacion Drogas
Cercado de Lima,3.53,34.45,59.81,4.58,23,7.25,8.78,3.17,47.84,15.48,5.09,15,Microcomercializacion Drogas
Independencia,5.24,39.29,74.52,0.84,46,8.07,1.2,9.44,21.23,6.57,7.96,6,Hurto
Villa El Salvador,13.99,43.97,90.82,0.61,74,8.3,6.06,10.15,34.5,3.89,9.1,8,Homicidio
Comas,11.23,34.9,68.43,0.76,89,9.9,2.39,16.86,65.57,13.25,6.05,21,Hurto
Cercado de Lima,6.33,10.63,77.34,4.02,44,2.76,9.82,16.76,83.45,4.11,6.79,0,Violencia Familiar
Ate,8.73,34.0,72.33,0.77,45,0.62,1.47,2.22,64.16,9.51,2.21,17,Robo
Comas,7.11,25.02,80.78,0.84,37,9.29,7.61,17.31,32.62,9.71,6.05,5,Asalto
San Juan de Lurigancho,5.33,44.8,71.63,2.26,69,1.09,6.37,15.95,48.47,19.11,5.7,11,Hurto
Callao,18.63,12.04,52.84,0.56,5,1.9,7.93,27.42,86.06,19.24,5.69,1,Homicidio
Independencia,5.75,24.08,83.1,1.61,64,4.58,7.81,28.88,73.45,17.25,6.43,4,Robo
Villa El Salvador,9.41,27.08,88.29,0.71,41,3.22,8.48,22.41,26.68,9.15,1.26,2,Homicidio
Cercado de Lima,18.32,11.15,99.41,4.8,0,0.45,7.61,12.41,47.47,15.33,9.27,16,Violencia Familiar
Cercado de Lima,9.07,36.5,55.06,3.04,90,4.16,8.47,27.26,81.41,19.51,1.25,10,Microcomercializacion Drogas
Villa El Salvador,3.61,12.01,92.01,1.77,92,4.31,7.19,17.77,49.93,7.2,8.56,12,Violencia Familiar
San Martín de Porres,19.09,40.7,65.17,4.01,83,4.98,2.05,18.55,33.03,7.3,8.7,13,Robo
Ate,8.02,40.18,67.6,0.93,26,8.36,3.32,21.42,73.98,13.44,2.36,16,Violencia Familiar
Independencia,7.93,42.24,63.51,2.96,40,0.0,4.17,16.63,23.82,19.49,3.04,5,Robo
Ate,6.92,5.06,83.76,4.85,37,7.32,6.41,13.65,73.13,12.58,9.06,4,Microcomercializacion Drogas
Los Olivos,6.09,19.84,94.12,4.13,38,2.2,7.62,17.19,30.47,8.23,4.73,9,Microcomercializacion Drogas
Comas,16.27,28.35,97.13,0.69,16,6.02,2.97,22.0,73.13,2.95,5.62,18,Hurto
Callao,10.63,11.36,50.81,0.94,69,9.21,6.95,22.41,80.32,6.21,8.26,8,Asalto
Villa María del Triunfo,14.31,11.29,47.13,3.94,46,4.35,5.49,10.74,53.78,10.63,4.49,3,Asalto
Los Olivos,16.3,9.98,87.85,3.27,33,4.38,2.35,21.74,77.2,11.38,9.7,18,Violencia Familiar
Villa El Salvador,15.21,39.51,50.76,4.1,98,9.52,2.27,26.62,76.62,13.87,6.63,1,Homicidio
Los Olivos,11.53,7.84,58.77,4.71,15,9.82,6.28,8.93,31.4,4.55,1.18,20,Hurto
San Juan de Lurigancho,18.89,22.22,92.68,3.22,58,3.56,0.84,11.34,67.43,2.37,2.85,6,Homicidio
Ate,14.42,30.29,51.94,2.38,53,6.01,9.9,11.11,85.89,18.38,1.1,9,Robo
Villa María del Triunfo,12.31,44.16,73.33,1.35,83,4.23,3.47,13.13,38.5,4.9,5.35,15,Asalto
Independencia,14.16,43.74,76.22,0.85,28,9.26,0.68,14.05,68.71,9.7,1.83,1,Robo
Comas,14.96,19.93,73.82,2.53,95,6.1,3.13,9.59,61.84,17.46,9.52,9,Violencia Familiar
Villa María del Triunfo,18.96,5.27,86.34,3.31,29,6.8,4.08,2.43,60.8,5.81,5.05,0,Robo
Callao,17.28,12.54,80.35,4.9,16,4.98,7.43,11.16,82.3,2.6,8.26,14,Hurto
